vmstat_r,vmstat_b,vmstat_swpd,vmstat_free,vmstat_buff,vmstat_cache,vmstat_si,vmstat_so,vmstat_bi,vmstat_bo,vmstat_in,vmstat_cs,vmstat_us,vmstat_sy,vmstat_id,vmstat_wa,vmstat_st,timestamp,iostat_disk_device,iostat_tps,iostat_kB_read/s,iostat_kB_wrtn/s,iostat_kB_read,iostat_kB_wrtn
3,0,4352,1115728,984368,2958128,0,0,0,1256,2366,3100,7,5,87,1,0,1636449968,sdb,2.0,0.0,12.0,0,12
1,0,4352,1115760,984376,2958132,0,0,0,636,2259,2518,6,4,90,0,0,1636449969,sdb,0.0,0.0,0.0,0,0
2,0,4352,1115760,984400,2957568,0,0,0,984,3193,3319,8,5,87,0,0,1636449970,sdb,0.0,0.0,0.0,0,0
0,0,4352,1115760,984400,2957576,0,0,0,160,2303,2310,9,3,82,6,0,1636449971,sdb,5.0,1.5,0.0,1,0
1,0,4352,1115444,984400,2957672,0,0,0,1368,4245,4937,11,7,82,0,0,1636449972,sdb,0.0,0.0,0.0,0,0
2,0,4352,1114908,984408,2958156,0,0,0,908,2820,3352,8,6,86,1,0,1636449973,sdb,2.0,0.0,12.0,0,12
0,0,4352,1114844,984416,2958100,0,0,0,512,2778,2850,5,4,91,0,0,1636449974,sdb,0.0,0.0,0.0,0,0
1,0,4352,1115128,984416,2957608,0,0,0,456,2576,2667,8,5,88,0,0,1636449975,sdb,0.0,0.0,0.0,0,0
0,0,4352,1114844,984420,2957608,0,0,0,344,2780,2998,5,4,92,0,0,1636449976,sdb,1.0,0.0,48.0,0,48
0,0,4352,1115096,984420,2957680,0,0,0,1212,3225,3989,11,6,82,0,0,1636449977,sdb,0.0,0.0,0.0,0,0
3,0,4352,1115096,984428,2957688,0,0,0,1100,2702,3238,8,5,87,1,0,1636449978,sdb,2.0,0.0,24.0,0,24
1,0,4352,1114624,984440,2958128,0,0,0,672,3297,3473,5,5,90,0,0,1636449979,sdb,0.0,0.0,0.0,0,0
1,0,4352,1114372,984440,2958204,0,0,0,296,2303,2461,7,4,89,0,0,1636449980,sdb,0.0,0.0,0.0,0,0
1,0,4352,1114656,984440,2957700,0,0,0,624,2012,2078,5,3,92,0,0,1636449981,sdb,3.0,0.0,12.0,0,12
4,0,4352,1113176,984440,2957704,0,0,0,1252,4024,4834,11,6,83,0,0,1636449982,sdb,0.0,0.0,0.0,0,0
2,0,4352,1113212,984448,2958732,0,0,0,596,2748,3276,8,5,87,1,0,1636449983,sdb,2.0,0.0,12.0,0,12
2,0,4352,1113216,984460,2959232,0,0,0,808,3484,3476,9,4,86,0,0,1636449984,sdb,0.0,0.0,0.0,0,0
3,0,4352,1114100,984460,2958216,0,0,0,612,2372,2352,9,4,87,0,0,1636449985,sdb,0.0,0.0,0.0,0,0
1,0,4352,1114480,984460,2957708,0,0,0,300,2064,2311,7,4,90,0,0,1636449986,sdb,0.0,0.0,0.0,0,0
1,0,4352,1117612,984460,2957820,0,0,0,1532,4010,6305,10,6,84,0,0,1636449987,sdb,0.0,0.0,0.0,0,0
0,0,4352,1117812,984460,2957820,0,0,0,0,1140,1346,2,2,96,0,0,1636449988,sdb,0.0,0.0,0.0,0,0
