procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0   4352 1125548 983824 2957360    0    0     0   768 2792 3710  5  4 91  0  0 2021-11-09 10:23:24
 3  0   4352 1125508 983824 2956972    0    0     0   468 2110 1971 11  3 86  0  0 2021-11-09 10:23:25
 0  0   4352 1125524 983824 2956960    0    0     0   160 2667 3232  6  5 89  0  0 2021-11-09 10:23:26
 0  0   4352 1124704 983824 2957916    0    0     0   924 2624 3260 10  5 85  0  0 2021-11-09 10:23:27
 0  0   4352 1124624 983824 2958748    0    0     0   896 3165 3735 16  7 77  0  0 2021-11-09 10:23:28
 0  0   4352 1124856 983840 2957604    0    0     0   512 1586 1562  5  3 91  1  0 2021-11-09 10:23:29
 1  0   4352 1125152 983840 2957100    0    0     0   456 3341 3966  8  5 87  0  0 2021-11-09 10:23:30
 0  0   4352 1125340 983840 2956968    0    0     0   768 2038 1848  7  4 90  0  0 2021-11-09 10:23:31
 0  0   4352 1125040 983840 2956920    0    0     0  1208 3262 4619  9  5 87  0  0 2021-11-09 10:23:32
 0  0   4352 1124628 983840 2957620    0    0     0  1076 3058 3416 11  5 84  0  0 2021-11-09 10:23:33
 0  0   4352 1123932 983856 2957608    0    0     0   216 2540 3264  6  4 89  1  0 2021-11-09 10:23:34
 1  0   4352 1123916 983856 2957128    0    0     0   780 2239 2025  7  5 88  0  0 2021-11-09 10:23:35
 2  0   4352 1124172 983856 2957124    0    0     0   436 2512 3039  7  4 90  0  0 2021-11-09 10:23:36
 1  0   4352 1124164 983856 2957028    0    0     0  1200 2614 2949  8  5 87  0  0 2021-11-09 10:23:37
 1  0   4352 1123996 983856 2957660    0    0     0   760 3413 4315 15  9 76  0  0 2021-11-09 10:23:38
 0  0   4352 1124304 983872 2957632    0    0     0   508 1528 1563  4  3 92  1  0 2021-11-09 10:23:39
 1  0   4352 1124272 983872 2957104    0    0     0   208 2895 3494  8  5 87  0  0 2021-11-09 10:23:40
 0  0   4352 1124020 983872 2956936    0    0     0   428 1753 1675  7  3 90  0  0 2021-11-09 10:23:41
 0  0   4352 1123664 983872 2957080    0    0     0   620 3392 4733 12  5 83  0  0 2021-11-09 10:23:42
 0  0   4352 1123556 983872 2957616    0    0     0   640 2887 3491 10  5 85  0  0 2021-11-09 10:23:43
 2  0   4352 1123364 983896 2957656    0    0     0   384 2296 3170  5  3 91  1  0 2021-11-09 10:23:44
 1  0   4352 1123268 983896 2957136    0    0     0   432 2110 2065  6  4 90  0  0 2021-11-09 10:23:45
 0  0   4352 1123268 983896 2957148    0    0     0   448 1821 2106  5  3 92  0  0 2021-11-09 10:23:46
 2  0   4352 1122892 983896 2958192    0    0     0   600 3655 4278  9  6 85  0  0 2021-11-09 10:23:47
 1  0   4352 1123204 983896 2958140    0    0     0  1216 2917 3649  9  5 86  0  0 2021-11-09 10:23:48
 1  0   4352 1123916 983904 2957664    0    0     0   504 1679 1563  5  3 92  0  0 2021-11-09 10:23:49
